id,url,title,seendate,domain,language,sourcecountry,
1,https://edition.cnn.com/europe/live-news/robert-fico-slovakia-prime-minister-shooting-05-15-24/h_fd16cf101ec837997528ad2ff33075ac,What we know about the assassination attempt on Slovakia prime minister,20240516T023000Z,edition.cnn.com,English,United States,
2,https://www.cnn.com/2024/05/16/europe/slovakia-prime-minister-fico-out-of-danger-intl-hnk/,Robert Fico: Slovakia prime minister out of 'life-threatening situation' following assassination attempt,20240516T073000Z,cnn.com,English,United States,
3,https://apnews.com/article/slovakia-prime-minister-shooting-robert-fico-handlova-bdaaf0bba01035a700145a67d871a482,"Slovakian Prime Minister Robert Fico expected to survive shooting, deputy says",20240516T040000Z,apnews.com,English,United States,
4,https://www.npr.org/2024/05/15/1251543187/slovakia-prime-minister-robert-fico-shot,Slovakia Prime Minister Robert Fico is shot and seriously wounded,20240515T153000Z,npr.org,English,United States,
5,https://www.nytimes.com/2024/05/16/briefing/slovakia-attack-ukraine-netherlands.html,Thursday Briefing: Slovakia attack,20240516T063000Z,nytimes.com,English,United States,
6,https://www.foxnews.com/world/slovakia-prime-minister-expected-survive-assassination-attempt-shock-across-europe,Slovakia prime minister expected to survive assassination attempt as shock reverberates across Europe,20240516T071500Z,foxnews.com,English,United States,
7,https://www.foxnews.com/world/suspect-shot-slovakia-prime-minister-robert-fico-reveals-possible-motive-report,Suspect who shot Slovakia PM Fico reveals possible motive: report,20240516T121500Z,foxnews.com,English,United States,https://drive.google.com/file/d/1j35qofE_9neuy-Ao3nO-hSBXAY9hIsJ4/view?usp=drive_link
8,https://www.oann.com/newsroom/slovakias-prime-minister-shot-in-attempted-assassination/,"Slovakia Prime Minister Shot In Attempted Assassination, In Life Threatening Condition",20240515T200000Z,oann.com,English,United States,
9,https://thenewamerican.com/news/slovakian-prime-minister-shot-in-life-threatening-condition/,"Slovakian Prime Minister Shot, in Life-threatening Condition",20240515T200000Z,thenewamerican.com,English,United States,
10,https://www.aljazeera.com/news/2024/5/15/world-reacts-to-slovakia-prime-minister-robert-fico-being-shot,World reacts to Slovakia Prime Minister Robert Fico being shot,20240515T231500Z,aljazeera.com,English,United States,
11,https://www.politico.eu/article/slovak-pm-robert-fico-will-survive-deputy-says/,"Slovak PM Robert Fico in 'stable, but very serious' condition after attempted assassination",20240516T073000Z,politico.eu,English,United States,
12,https://www.tmz.com/2024/05/15/slovakia-prime-minister-robert-fico-shot-life-threatening-condition/,"Slovakia Prime Minister Robert Fico Shot, Life-Threatening Condition",20240515T201500Z,tmz.com,English,United States,
13,https://www.mprnews.org/story/2024/05/15/npr-slovakia-prime-minister-robert-fico-shot,"Slovakia populist prime minister shot, shocking Europe before elections",20240515T204500Z,mprnews.org,English,United States,
14,https://www.yahoo.com/news/slovak-pm-no-longer-life-055725437.html,Slovak PM 'no longer in life-threatening condition' after assassination attempt,20240516T074500Z,yahoo.com,English,United States,
15,https://www.yahoo.com/news/slovak-pm-robert-fico-stable-103300096.html,"Slovak PM Robert Fico in stable but serious condition, hospital statement confirms",20240516T121500Z,yahoo.com,English,United States,
16,https://news.antiwar.com/2024/05/15/slovak-prime-minister-robert-fico-in-life-threatening-condition/,Slovak Prime Minister Robert Fico in Life-Threatening Condition After Shooting,20240515T234500Z,news.antiwar.com,English,United States,
17,https://www.nbcphiladelphia.com/news/business/money-report/slovakian-prime-minister-fico-injured-in-shooting-media-reports-say/3859075/,Slovakian PM Fico in 'life-threatening' condition after being shot; EU leaders decry 'brutal attack',20240515T150000Z,nbcphiladelphia.com,English,United States,
18,https://www.nbclosangeles.com/news/business/money-report/slovakias-prime-minister-no-longer-in-life-threatening-condition-after-assassination-attempt/3413550/,Slovakia prime minister no longer in life-threatening condition after assassination attempt,20240516T074500Z,nbclosangeles.com,English,United States,
19,https://www.fox5atlanta.com/news/slovakias-populist-prime-minister-shot-in-assassination-attempt,Slovakia populist prime minister shot in assassination attempt,20240516T033000Z,fox5atlanta.com,English,United States,
20,https://www.wthr.com/article/news/nation-world/slovakias-prime-minister-shot/507-3ada9791-8043-420e-95c1-d16b19b42b23,Slovakia prime minister shot in the stomach,20240515T211500Z,wthr.com,English,United States,
21,https://wset.com/news/nation-world/slovakias-prime-minister-robert-fico-expected-to-survive-assassination-attempt-weeks-before-election-europe-pro-russian-leader-handlova-suspect-in-custody-political-motivation-bansk-bystrica-hospital,Slovakia prime minister expected to survive assassination attempt weeks before election,20240516T120000Z,wset.com,English,United States,
22,https://www.wdrb.com/news/national/slovakia-s-prime-minister-is-expected-to-survive-assassination-attempt-deputy-says/article_6e854817-48c0-5b06-b4bb-74d2898145b4.html,"Slovakia prime minister is expected to survive assassination attempt, deputy says",20240516T071500Z,wdrb.com,English,United States,
23,https://www.wpsdlocal6.com/news/slovakia-s-prime-minister-fico-in-life-threatening-condition-after-being-shot-multiple-times/article_bd91eb5e-12bd-11ef-9c21-e7c853ff048e.html,Slovakia Prime Minister Fico in life-threatening condition after being shot multiple times,20240515T153000Z,wpsdlocal6.com,English,United States,
24,https://www.ksl.com:443/article/51013687/slovak-prime-minister-in-life-threatening-condition-after-assassination-attempt-government-says,"Slovak prime minister in life-threatening condition after assassination attempt, government says",20240515T183000Z,ksl.com,English,United States,
25,https://www.smdailyjournal.com/news/world/slovakia-s-prime-minister-is-expected-to-survive-assassination-attempt-deputy-says/article_1ecc7a4f-a23e-5915-9238-592311199f03.html,"Slovakia prime minister is expected to survive assassination attempt, deputy says",20240516T081500Z,smdailyjournal.com,English,United States,
26,https://www.channel3000.com/news/slovakias-populist-prime-minister-shot-in-assassination-attempt-shocking-europe-before-elections/article_04d9de35-77e4-5239-9ec4-55b8fc2d8c7e.html,"Slovakia populist prime minister shot in assassination attempt, shocking Europe before elections",20240516T030000Z,channel3000.com,English,United States,
27,https://www.idahopress.com/news/world/slovakias-populist-prime-minister-shot-in-assassination-attempt-shocking-europe-before-elections/article_134c1f2a-d462-5829-9797-736ed61dca4f.html,"Slovakia populist prime minister shot in assassination attempt, shocking Europe before elections",20240516T030000Z,idahopress.com,English,United States,
28,https://www.durangoherald.com/articles/slovakias-prime-minister-injured-in-shooting/,Slovakia prime minister injured in shooting,20240515T151500Z,durangoherald.com,English,United States,
29,https://www.bbc.co.uk/news/world-europe-69019121,Slovakia PM Robert Fico not in life-threatening condition - deputy PM,20240516T041500Z,bbc.co.uk,English,United Kingdom,
30,https://www.mirror.co.uk/news/world-news/slovakia-robert-fico-shooting-live-32818490,Robert Fico shooting latest: Prime Minister of Slovakia 'fighting for life' after assassination bid,20240515T153000Z,mirror.co.uk,English,United Kingdom,
31,https://www.dailymail.co.uk/debate/article-13423401/MARK-ALMOND-political-assassination-delicate-Europe.html,MARK ALMOND: Not since 1914 has a political assassination been attempted at such a delicate time in Europe,20240515T230000Z,dailymail.co.uk,English,United Kingdom,https://drive.google.com/file/d/15QT6ADUPP-3dDcvUo9b-9N09SOKrM9N6/view
32,https://www.lbc.co.uk/news/slovakian-pm-robert-fico-shot-in-the-stomach-in-suspected-assassination-bid/,Slovakian PM fights for life after being shot in the stomach in suspected assassination bid,20240515T160000Z,lbc.co.uk,English,United Kingdom,
33,https://www.lbc.co.uk/news/slovakian-pm-serious-condition-still-surgery/,Slovakian PM in 'extraordinarily serious' condition and remains in surgery hours after...,20240515T200000Z,lbc.co.uk,English,United Kingdom,
34,https://www.lbc.co.uk/world-news/8f54f1171ddb4edc867aadc63b1c06ce/,Slovakian prime minister condition 'not life threatening' after shooting,20240516T053000Z,lbc.co.uk,English,United Kingdom,
35,https://www.swissinfo.ch/eng/world-reacts-to-shooting-of-slovak-pm-robert-fico/77632456,World reacts to shooting of Slovak PM Robert Fico,20240515T164500Z,swissinfo.ch,English,Switzerland,
36,https://www.lrt.lt/en/news-in-english/19/2273825/baltic-leaders-condem-attack-on-slovak-pm-fico,Baltic leaders condem attack on Slovak PM Fico,20240515T154500Z,lrt.lt,English,Lithuania,
37,https://charter97.org/en/news/2024/5/16/595222/,Slovakia Prime Minister Remaining In Critical Condition After Assassination Attempt,20240516T094500Z,charter97.org,English,Belarus,
38,https://www.breakingnews.ie/world/slovakian-prime-ministers-condition-not-life-threatening-after-shooting-1626085.html,Slovakian prime minister condition 'not life threatening' after shooting,20240516T071500Z,breakingnews.ie,English,Ireland,
39,https://armenpress.am/eng/news/1137166/,Slovakia prime minister not in life-threatening condition – deputy PM,20240516T101500Z,armenpress.am,English,Armenia,
40,https://www.dailysabah.com/politics/diplomacy/erdogan-condemns-attempted-assassination-of-slovak-pm-fico,Erdoğan condemns attempted assassination of Slovak PM Fico,20240516T071500Z,dailysabah.com,English,Turkey,
41,https://www.hurriyetdailynews.com/slovak-pm-fights-for-his-life-as-leaders-condemn-assassination-attempt-193592,Slovak PM fights for his life as leaders condemn assassination attempt,20240516T071500Z,hurriyetdailynews.com,English,Turkey,
42,http://thepeninsulaqatar.com/article/15/05/2024/slovak-pm-suffers-life-threatening-wounds-in-assassination-attempt,Slovak PM suffers life-threatening wounds in assassination attempt,20240515T223000Z,thepeninsulaqatar.com,English,Qatar,
43,https://menafn.com/1108218528/Monstrous-Horrific-Vladimir-Putin-Joe-Biden-Others-Condemn-Attack-On-Slovak-PM-Robert-Fico,"Monstrous, Horrific': Vladimir Putin, Joe Biden, Others Condemn Attack On Slovak PM Robert Fico",20240515T221500Z,menafn.com,English,Qatar,
44,https://menafn.com/1108219769/Cowardly-Dastardly-Act-Says-PM-Modi-On-Attack-On-Slovak-PM-Robert-Fico,"Cowardly, Dastardly Act,' Says PM Modi On Attack On Slovak PM Robert Fico",20240516T060000Z,menafn.com,English,Qatar,
45,https://menafn.com/1108219621/Who-Is-Robert-Fico-Top-12-Things-You-Need-To-Know-About-Slovakias-Prime-Minister-Who-Was-Shot,Who Is Robert Fico? Top 12 Things You Need To Know About Slovakia's Prime Minister Who Was Shot,20240516T044500Z,menafn.com,English,Qatar,
46,https://www.ndtv.com/india-news/pm-modi-on-attack-on-slovak-minister-robert-fico-cowardly-dastardly-act-5674295,"PM Modi On Attack On Slovak Minister Robert Fico: Cowardly, dastardly act",20240516T051500Z,ndtv.com,English,India,
